;organization;country_firm_adj;classified;keep
1;abb;CH;manual;1
2;abb automation;CH;manual;1
3;abb industrial systems;CH;manual;1
4;advantest america;JP;auto;1
5;agc automotive americas;JP;auto;1
6;agfa gevaert;BE;auto;1
7;alcatel lucent;FR;auto;1
8;alcon;CH;auto;1
9;alcon laboratories;CH;auto;1
10;alcon manufacturing;CH;auto;1
11;alfa laval;SE;auto;1
12;alibaba  holding;CN;auto;1
13;alps electric;JP;auto;1
14;ams;AT;auto;1
15;andritz;AT;auto;1
16;anritsu;JP;auto;1
17;ansell healthcare;AU;auto;1
18;asml;NL;auto;1
19;audiocodes;IL;auto;1
20;avl north america;AT;auto;1
21;bae;GB;auto;1
22;bae systems;GB;auto;1
23;baidu;CN;auto;1
24;ballard power systems;CA;auto;1
25;bank of america;NA;auto;0
26;barco;BE;auto;1
27;basf;DE;auto;1
28;bayer;DE;auto;1
29;bayer healthcare;DE;auto;1
30;bayer medical care;DE;auto;1
31;bayer pharmaceuticals;DE;auto;1
32;beecham;GB;auto;1
33;beiersdorf;DE;auto;1
34;bentley laboratories;GB;auto;1
35;bentley systems;GB;auto;1
36;bg;GB;auto;1
37;bic;FR;auto;1
38;biovail;CA;auto;1
39;boehringer ingelheim;DE;auto;1
40;boehringer ingelheim pharmaceuticals;DE;auto;1
41;borealis technical;AT;auto;1
42;braskem america;BR;auto;1
43;braun;DE;auto;1
44;bridgestone;JP;auto;1
45;bt americas;GB;auto;1
46;calsonic kansei north america;JP;auto;1
47;cambridge;GB;auto;1
48;canon;JP;auto;1
49;cargill;CA;auto;1
50;carl zeiss;DE;auto;1
51;cas medical systems;KR;auto;1
52;ciba specialty chemicals;CH;auto;1
53;clariant;CH;auto;1
54;comau;IT;auto;1
55;compugen;IL;auto;1
56;continental;DE;manual;1
57;continental automotive systems;DE;manual;1
58;convatec;GB;auto;1
59;covestro;DE;auto;1
60;cpc;TW;auto;1
61;danieli;IT;auto;1
62;dassault systemes americas;FR;auto;1
63;denso;JP;auto;1
64;denso  america;JP;auto;1
65;dominion voting systems;CA;auto;1
66;dr reddy s laboratories;IN;auto;1
67;dsm solutions;NL;auto;1
68;durr;DE;auto;1
69;durr systems;DE;auto;1
70;d√ºrr systems;DE;auto;1
71;ebara;JP;auto;1
72;eisai;JP;auto;1
73;electrolux;SE;auto;1
74;elekta;SE;auto;1
75;ergon;NA;auto;0
76;ericsson;SE;auto;1
77;fanuc;JP;auto;1
78;fanuc america;JP;auto;1
79;festo;DE;auto;1
80;fiskars;FI;auto;1
81;fisons;GB;auto;1
82;food;NA;auto;0
83;food equipment;NA;auto;0
84;formosa plastics;TW;auto;1
85;foxconn;TW;auto;1
86;framatome;FR;auto;1
87;fresenius;DE;auto;1
88;fresenius medical care;DE;auto;1
89;fujifilm medical systems;JP;auto;1
90;fujifilm north america;JP;auto;1
91;fujitsu;JP;auto;1
92;furukawa electric north america;JP;auto;1
93;ge energy;GB;auto;0
94;ge medical  services;GB;auto;0
95;ge medical systems;GB;auto;0
96;gilat satellite networks;IL;auto;1
97;givaudan;CH;auto;1
98;glaxo;GB;auto;1
99;glaxo wellcome;GB;auto;1
100;glaxosmithkline;GB;auto;1
101;gpc biotech;DE;auto;1
102;gs;KR;auto;1
103;hamilton;CH;auto;1
104;hamilton associates;CH;auto;0
105;hanson;GB;auto;1
106;henkel;DE;auto;1
107;heraeus;DE;auto;1
108;hi lex;JP;auto;1
109;hisense;CN;auto;1
110;hitachi;JP;auto;1
111;hitachi america;JP;auto;1
112;hitachi automotive;JP;auto;1
113;hitachi automotive systems americas;JP;auto;1
114;hitachi chemical  america;JP;auto;1
115;hitachi chemical diagnostics;JP;auto;1
116;hoechst;DE;auto;1
117;hoffmann la roche;CH;auto;1
118;hoya;JP;auto;1
119;hutchinson;FR;auto;1
120;icom;JP;auto;1
121;imec;BE;auto;1
122;index systems;JP;auto;1
123;intertape polymer;CA;auto;1
124;itc;IN;auto;1
125;janssen pharmaceutica;BE;auto;1
126;jeol;JP;auto;1
127;k line;JP;auto;1
128;kaneka north america;JP;auto;1
129;kao;JP;auto;1
130;karcher north america;DE;auto;1
131;k√§rcher north america;DE;auto;1
132;kensington laboratories;GB;auto;1
133;kerry;IE;auto;1
134;kobe steel;JP;auto;1
135;kuraray america;JP;auto;1
136;kyocera;JP;auto;1
137;kyocera america;JP;auto;1
138;lavipharm laboratories;GR;auto;1
139;lion;AU;auto;1
140;lion semiconductor;AU;auto;0
141;logitech;CH;auto;1
142;lonza;CH;auto;1
143;mahle;DE;auto;1
144;makino;JP;auto;1
145;mediatek;TW;auto;1
146;mercedes benz;DE;auto;1
147;merck;DE;auto;1
148;metro;IE;auto;1
149;mettler toledo;CH;auto;1
150;microtek laboratories;TW;auto;1
151;microtek medical;TW;auto;1
152;mitel;CA;auto;1
153;mitsubishi chemical america;JP;auto;1
154;mitsubishi semiconductor america;JP;auto;1
155;mitsubishi electric  laboratories;JP;auto;1
156;mizuno;JP;auto;1
157;murata manufacturing;JP;manual;1
158;nec;JP;auto;1
159;nec america;JP;auto;1
160;nec energy solutions;JP;auto;1
161;nec laboratories america;JP;auto;1
162;nexen;CA;auto;1
163;nhk;JP;auto;1
164;nidec motor;JP;auto;1
165;nikon;JP;auto;1
166;nipro diagnostics;JP;auto;1
167;nissan motor;JP;auto;1
168;nissan north america;JP;auto;1
169;nokia;FI;auto;1
170;norton;GB;auto;1
171;nova chemicals;CA;auto;1
172;novartis;CH;auto;1
173;novartis pharmaceuticals;CH;auto;1
174;novartis vaccines diagnostics;CH;auto;1
175;novozymes;DK;auto;1
176;novozymes north america;DK;auto;1
177;nsk americas;JP;auto;1
178;olympus america;JP;auto;1
179;olympus optical;JP;auto;1
180;omega;CH;auto;1
181;oxford;GB;auto;1
182;panasonic;JP;auto;1
183;philips;NL;auto;1
184;philips semiconductor;NL;auto;1
185;pioneer;JP;auto;1
186;pioneer energy;CA;manual;1
187;pioneer laboratories;JP;auto;0
188;pratt whitney canada;CA;auto;1
189;rad  medical systems;IL;auto;1
190;ralink;TW;auto;1
191;reckitt benckiser;GB;auto;1
192;reliance medical;IN;auto;1
193;renesas electronics america;JP;auto;1
194;rhodia;FR;auto;1
195;rhone poulenc;FR;auto;1
196;ricoh;JP;auto;1
197;ricoh americas;JP;auto;1
198;ricoh systems;JP;auto;1
199;robert bosch;DE;auto;1
200;robert bosch healthcare systems;DE;auto;1
201;rogers;CA;auto;0
202;rohm;JP;auto;1
203;rolls royce;GB;auto;1
204;ryobi motor;JP;auto;1
205;ryobi north america;JP;auto;1
206;saba software;DE;auto;1
207;samsung semiconductor;KR;auto;1
208;samsung electronics;KR;auto;1
209;sandvik;SE;auto;1
210;sanofi;FR;auto;1
211;sanofi pharmaceuticals;FR;auto;1
212;sap;DE;manual;1
213;sap se;DE;manual;1
214;sasol;ZA;auto;1
215;sasol north america;ZA;auto;1
216;schering;DE;auto;1
217;schneider electric;FR;auto;1
218;schneider electric software;FR;auto;1
219;schneider electric systems;FR;auto;1
220;schott;DE;auto;1
221;scientific games;GB;auto;1
222;seiko communications systems;JP;auto;1
223;siemens;DE;auto;1
224;siemens automotive;DE;auto;1
225;siemens communications;DE;auto;1
226;siemens energy;DE;auto;1
227;siemens energy automation;DE;auto;1
228;siemens enterprise communications;DE;auto;1
229;siemens healthcare diagnostics;DE;auto;1
230;siemens industrial automation;DE;auto;1
231;siemens medical laboratories;DE;auto;1
232;siemens medical solutions;DE;auto;1
233;siemens medical solutions diagnostics;DE;auto;1
234;siemens medical systems;DE;auto;1
235;sig sauer;DE;auto;1
236;sigma;AU;auto;1
237;sika;CH;auto;1
238;skf;SE;auto;1
239;smithkline beecham;GB;auto;1
240;solvay;BE;auto;1
241;solvay automotive;BE;auto;1
242;sony;JP;auto;1
243;sun;IN;auto;1
244;sun automation;IN;auto;1
245;sun chemical;IN;auto;1
246;sun pharmaceuticals;IN;auto;1
247;sunrise;JP;auto;1
248;sunrise medical;JP;auto;1
249;symrise;DE;auto;1
250;takata;JP;auto;1
251;tcl  america;CN;auto;1
252;te connectivity;CH;auto;1
253;technicolor;FR;auto;1
254;tecom;TW;auto;1
255;tencent america;CN;auto;1
256;terumo medical;JP;auto;1
257;tetra;DE;auto;1
258;tetra holding;DE;auto;1
259;textron;GB;auto;1
260;textron automotive;GB;auto;1
261;textron systems;GB;auto;1
262;thales;FR;auto;1
263;thorn emi north america;GB;auto;1
264;thyssenkrupp;DE;auto;1
265;tomy;JP;auto;1
266;topcon medical systems;JP;auto;1
267;torrent systems;IN;auto;1
268;toshiba;JP;auto;1
269;toshiba america;JP;auto;1
270;toyota motor  manufacturing north america;JP;auto;1
271;toyota motor manufacturing north america;JP;auto;1
272;toyota boshoku america;JP;auto;1
273;transco;DE;manual;1
274;trend micro;JP;auto;1
275;trumpf;DE;auto;1
276;uniden america;JP;auto;1
277;united microelectronics;TW;auto;1
278;valeant pharmaceuticals;CA;auto;1
279;valeant pharmaceuticals north america;CA;auto;1
280;valmet;FI;auto;1
281;verint americas;IL;auto;1
282;verint systems;IL;auto;1
283;vickers;GB;auto;1
284;voest alpine;AT;auto;1
285;volvo  north america;SE;auto;1
286;volvo trucks north america;SE;auto;1
287;wenger;CH;auto;1
288;wenger manufacturing;CH;auto;1
289;yamaha motor;JP;auto;1
290;yazaki north america;JP;auto;1
291;zebra;JP;auto;1
292;zebra enterprise solutions;JP;auto;1
293;zeneca;GB;auto;1
294;zenith;CH;auto;1
295;zte;CN;auto;1
296;hoffman†laroche;CH;manual;1
297;hoffmann la roches;CH;manual;1
298;roche diagnostics;CH;manual;1
299;roche diagnostics operations;CH;manual;1
300;novartis vaccines diagnostics;CH;manual;1
301;volkswagen of america;DE;manual;1
302;toyota†motor†sales†u;JP;manual;1
303;samsung pay;KR;manual;1
304;mitsubishi electronics america;JP;manual;1
305;enel x north america;IT;manual;1
306;schneider electric it;FR;manual;1
307;linde;DE;manual;1
